No,Judul,Text,Url,Kategori
1,"Alwi, Ubed, dan Jiwa Kompetitif Ginting yang Belum Bisa Main Lagi","Pebulutangkis tunggal putra Indonesia Anthony Sinisuka Ginting menanggapi sejumlah juniornya yang sedang naik daun. Ginting mengaku terpacu. Saat ini, Ginting masih dalam pemulihan cedera bahu yang membuatnya absen beberapa bulan ke depan. Ia bahkan telah melakukan proteksi ranking BWF agar tidak terus merosot setelah tak tampil di turnamen sejak awal April lalu. Dalam waktu yang bersamaan Alwi Farhan cs menunjukkan progres positif. Pekan ini, Alwi naik tiga tingkat pada posisi ke-30 ranking dunia. Sedangkan Mohammad Zaki Ubaidillah naik 10 anak tangga menjadi peringkat ke-67 pada pekan ini. SCROLL TO CONTINUE WITH CONTENT Perbaikan ranking diperoleh usai menunjukkan performa sip di Piala Sudirman 2025. Bersama Jonatan Christie, Alwi dan Ubed, panggilan karib Moh. Zaki Ubaidillah, bahu-membahu menyumbangkan poin bagi Indonesia dari sektor tunggal putra. ""Ya pastinya melihat progres semua yang ada dari yang Alwi, Ubed, Saut (Yohanes Marcellyno), yang sekarang ada di utama, memang sudah cukup bagus. Bagus banget malah bisa kita bilang,"" kata Ginting kepada pewarta di Pelatnas PBSI, Cipayung. ""Bukan cuma di pertandingan, tapi yang saya lihat di latihannya juga mereka ada tujuan dan semangatnya bagus juga gitu. Jadi bukan yang sekedar datang latihan, tapi memang mereka punya tujuan dan ada keinginan yang lebih juga,"" ujarnya. Diakui Anthony Ginting, kondisi tersebut tak jarang membuatnya khawatir bakal tertinggal dari juniornya. Apalagi dengan kondisinya yang masih belum bisa bertanding. Semangatnya berkompetisi sebagai atlet pun terusik. ""Ya pasti kalau jiwa kompetitif pasti masih ada juga, cuma memang itu yang harus dibatasi juga. Ya, kayak sekarang latihan, kita main game segala macam, rasa enggak mau kalahnya ada,"" kata juara Asia 2023 itu. ""Tapi untuk saat ini (memang) harus ditahan dulu, karena takutnya karena belum boleh smes, tahunya sudah gatal mau pukul karena main game apa gimana gitu. Jadi memang ya kita tunggu-lah,"" tuturnya. Anthony Ginting dijadwalkan comeback ke turnamen pada bulan Juli mendatang. Itu pun masih dengan catatan jika proses pemulihan cederanya berjalan lancar.",https://sport.detik.com/raket/d-7906006/alwi-ubed-dan-jiwa-kompetitif-ginting-yang-belum-bisa-main-lagi,Non-Sepak Bola
2,"Marquez Melesat dengan Sasis Baru Ducati
","LE MANS, JUMAT – Marc Marquez mengonfirmasi sasis baru Ducati yang dia uji di Jerez bekerja dengan baik di Le Mans, ditegaskan dengan rekor waktu putaran baru. Marquez mencetak waktu putaran impresif 1 menit 29,855 detik dalam sesi latihan, lebih cepat 0,064 detik dari rekor sebelumnya yang dicetak Jorge Martin dalam kualifikasi MotoGP seri Perancis 2024. Marquez juga memiliki ritme pace sangat solid dengan ban yang sudah terpakai. Marquez mengawali akhir pekan di Le Mans dengan memuncaki sesi latihan bebas pertama dengan catatan waktu 1 menit 30,764 detik, Jumat (9/5/2025). Catatan waktu itu dia cetak dengan ban depan-belakang kompon lunak-medium, yang sudah terpakai 16 putaran. Performa Marquez ini mengonfirmasi sasis baru Ducati bekerja dengan baik di Le Mans. Dia sudah menguji sasis itu dalam tes resmi di Jerez, dua pekan lalu, dan hasilnya positif. Marquez kemudian menegaskan statusnya sebagai favorit pemenang di Le Mans, dalam sesi latihan pada Jumat siang. Dia mencetak rekor lap tercepat 1 menit 29,855 detik menggunakan ban depan-belakang kompon keras-lunak. Catatan waktu itu bertahan hingga sesi latihan berakhir, karena tidak ada pebalap yang mampu melampaui. Rekan setim Marquez di Ducati Lenovo, Francesco Bagnaia, masih terpaut 0,184 detik di posisi kedua saat sesi latihan menyisakan tiga menit. Bagnaia kemudian turun ke posisi ketiga, karena digusur oleh pebalap Monster Energy Yamaha Fabio Quartararo. Namun, catatan waktu terbaik pebalap tuan rumah itu, masih terpaut 0,177 detik dari Marquez. Hasil ini merupakan kelanjutkan performa solid Quartararo di Jerez di mana dia meraih pole position dan podium kedua dalam balapan utama seri Spanyol. Akhir pekan ini, dia menggunakan mesin baru M1 yang lebih cepat 2 kilometer per jam dalam kecepatan puncak. Peningkatan kecil, tetapi mampu dimaksimalkan oleh Quartararo untuk kembali ke persaingan papan atas. Quartararo juga memiliki ritme pace yang solid yang bisa kompetitif dalam persaingan podium di Le Mans. Namun, dibandingkan dengan pace Marquez, Quartararo masih tertinggal 0,2 detik hingga 0,3 detik. Marquez sangat kuat di sektor tiga, dimana dia bisa konsisten lebih cepat 0,3 detik dari para pesaingnya. Terkait dengan sasis baru yang dipakai oleh Marquez, seusai sesi latihan bebas pertama Manajer Tim Ducati Lenovo Davide Tardozzi mengonfirmasi saat ini hanya Marquez yang menggunakan rangka baru itu. Jika sasis itu dinilai merupakan kemajuan, maka Ducati akan memproduksi sasis baru itu untuk seluruh pebalap yang dikontrak oleh Ducati. “Saya pikir ini cukup menggesankan, 1 menit 30,7 detik di akhir sesi dengan ban yang sama. Menurut saya, dua hal yang kami uji di Jerez berfungsi untuk kedua sisi, sisi Pecco (Bagnaia) dan sisi Marc. Jadi, kami sangat percaya diri kami telah melakukan langkah maju yang bagus,” ujar Tardozzi kepada MotoGP. “Ini bukan sesuatu yang besar, tetapi kami tahu, Gigi dan para insinyurnya selalu bekerja dengan kecepatan baru untuk meningkatkan motor. Kami tidak melakukan revolusi, kami melakukan evolusi,” tegas Tardozzi. Pengujian sasis baru yang hanya dilakukan oleh Marquez ini sekaligus mengindikasikan ada perubahan hierarki di Ducati. Performa Marquez yang solid sejak awal musim telah menggudur Bagnaia sebagai pebalap nomor satu Ducati, sehingga dia yang mendapat kepercayaan untuk menguji sasis baru itu. Tardozzi tidak memberikan penjelasan mengapa hanya Marquez yang menggunakan sasis baru itu. Meskipun Marquez mampu mendominasi hari pertama, dia masih harus tampil solid dan konsisten dalam sesi kualifikasi pada Sabtu (10/5). Perebutan pole position akan sangat ketat karena para pebalap Yamaha dan KTM juga solid di Le Mans. Di akhir sesi latihan, Ducati sudah tidak mendominasi tiga besar, karena ada Quartataro di posisi kedua, memisahkan Marquez dan Bagnaia. Di antara 10 pebalap yang lolos langsung ke kualifikasi kedua (Q2), ada lima pebalap Ducati, dua pebalap Yamaha, dua pebalap KTM, dan satu pebalap Aprilia.",https://www.kompas.id/artikel/marquez-melesat-dengan-sasis-baru-ducati,Non-Sepak Bola
3,"MotoGP Prancis 2025 - Rahasia Fabio Quartararo Kembali Istimewa, Misi Back-to-back Pole Position Bukan Mustahil - Bolasport.com","BOLASPORT.COM - Pembalap Monster Energy Yamaha, Fabio Quartararo, merasa senang dengan hasil yang diraih pada rangkaian hari pertama MotoGP Prancis 2025. Quartararo berhasil lolos langsung ke Q2 usai menjadi yang tercepat kedua dalam sesi Practice MotoGP Prancis 2025. Pembalap tuan rumah itu berhasil menorehkan putaran waktu terbaiknya dengan 1 menit 30,032 detik yang digelar di Sirkuit Bugatti, Le Mans, Prancis, Jumat (9/5/2025). El Diablo bahkan hanya terpaut 0,177 detik dari pembalap tercepat, Marc Marquez (Ducati Lenovo). Quartararo kembali menunjukkan kecepatan setelah akhir pekan positif pada seri balap terakhir di Sirkuit Jerez, Spanyol. Dia merasa sangat puas dengan apa yang dirasakan dengan motornya. Apalagi setelah Quartararo kembali lebih baik dari pembalap Ducati Lenovo lainnya yakni Francesco Bagnaia. Quartararo sedikit lebih cepat dengan gap 0,007 detik saja atas Bagnaia yang berada di posisi ketiga. ""Ini adalah hari yang positif, karena kecepatannya bagus, baik dalam satu lap maupun dalam jangka panjang. Kami berharap bisa mengambil langkah maju lagi besok (Sabtu),"" kata Quartararo dilansir BolaSport.com dari Motorsport. Baca Juga: Hasil Practice MotoGP Prancis 2025 - Bagnaia Keasapan Quartararo Lagi, Marc Marquez Terlalu Cepat dan Pecahkan Rekor Lap",https://www.bolasport.com/read/314249319/motogp-prancis-2025-rahasia-fabio-quartararo-kembali-istimewa-misi-back-to-back-pole-position-bukan-mustahil#google_vignette,Non-Sepak Bola
4,Hasil FP1 MotoGP Prancis 2025: Marc Marquez Tercepat,"Pebalap Ducati Marc Marquez mendominasi Free Practice I MotoGP Prancis 2025. Marquez tercepat, di depan Brad Binder dan Alex Marquez. Bertempat di Sirkuit Le Mans pada Jumat (9/5/2025) sore WIB, Marc Marquez mencetak waktu tercepat 1 menit 30,764 detik. Catatan waktu itu dibuat Marquez di putaran terakhirnya. Bagnaia menentukan bench mark di menit-menit awal, yang kemudian dilampaui Fabio Quartararo. Marco Bezzecchi mengambil alih posisi teratas setelah menembus 1 menit 32 menit. SCROLL TO CONTINUE WITH CONTENT Marc Marquez menggeser Bezzecchi dengan catatan waktu 1 menit 31,756 detik. Alex Marquez sempat membuntuti, sebelum digusur Bagnaia untuk menempati posisi kedua. Seiring berjalannya seri, Marc Marquez terus menajamkan catatan waktunya. Brad Binder menyeruak di detik-detik terakhir untuk merebut P2 dengan selisih 0,576 detik. Alex Marquez finis ketiga di depan Bagnaia. Sedangkan Ai Ogura melengkapi lima besar FP1 MotoGP Prancis 2025. Quartararo, Francesco Morbidelli, Johann zarco, Fermin Aldeguer, dan Maverick Vinales berturut-turut mengisi posisi enam sampai 10.",https://sport.detik.com/moto-gp/d-7907645/hasil-fp1-motogp-prancis-2025-marc-marquez-tercepat,Non-Sepak Bola
5,Marc tercepat di latihan bebas 1 GP LeMans,"Jakarta (ANTARA) - Pembalap Ducati Lenovo Marc Marquez menjadi yang tercepat di sesi latihan bebas 1 GP LeMans di Bugatti Circuit, Jumat sore WIB. Dalam kondisi sirkuit yang bertemperatur 20 derajat Celcius, para pembalap mayoritas menggunakan ban slick soft-medium. Sesi yang berlangsung selama 45 menit tersebut diamankan oleh Marc usai mencatatkan waktu 1 menit 30,764 detik. Sesi latihan bebas 1 dipimpin oleh Fabio Quartararo yang melejit di lima menit awal dengan mencatatkan waktu 1 menit 34,550 detik. Catatan tersebut kemudian mampu disalip oleh Marco Bezzechi yang tampil impresif selama sesi berlangsung dalam kurun waktu sepuluh menit.  Namun posisi Bezzechi di urutan terdepan tak bertahan lama setelah Marc melejit dengan catatan waktu 1 menit dan 31,756 detik. Alex Marquez kemudian memimpin jalannya sesi latihan bebas 1 setelah mencatatkan waktu 1 menit 31,588 detik. Marc kemudian menyalip catatan dari sang adik ketika memasuki menit ke-12 dengan catatan waktu 1 menit 31,263 detik. Marc mampu mempertajam catatan waktunya menjadi 1 menit 30,764 detik di akhir sesi yang berlangsung selama 45 menit tersebut. Hasil latihan bebas 1 GP LeMans1. Marc Marquez - 1:30.7642. Brad Binder - 1:31.3403. Alex Marquez - 1:31.3844. Francesco Bagnaia - 1:31.3975. Ai Ogura - 1:31.404 Baca juga: Jadwal MotoGP Prancis: Kesempatan Fabio Quartararo buktikan diri  Baca juga: Mengenang Marco Simoncelli, legenda MotoGP yang tewas di lintasan Baca juga: Takaaki Nakagami jadi pembalap wildcard di Prancis Pewarta: Fajar SatriyoEditor: Eka Arifa Rusqiyati								Copyright © ANTARA 2025",https://www.antaranews.com/berita/4824729/marc-tercepat-di-latihan-bebas-1-gp-lemans,Non-Sepak Bola
6,Yolla Yuliana dan Megawati Hangestri akan Kembali Beraksi! Jadwal Grand Final Proliga 2025 Akhir Pekan Ini,"tvOnenews.com - Setelah berakhirnya babak final four, Proliga 2025 masih menyisakan dua pertandingan terakhir di masing-masing divisi pada akhir pekan ini. Pada hari Sabtu (10/5/2025) besok dua pertandingan menarik akan tersaji di GOR Amongrogo, Yogyakarta. Empat tim dari divisi putri akan memainkan pertandingan terakhir mereka di Proliga 2025. Jakarta Electric PLN vs Gresik Petrokimia (sumber: PBVSI) Pada divisi putri ada Gresik Petrokimia dan Jakarta Electric PLN yang akan bertarung memperebutkan peringkat ketiga. Gresik Petrokimia yang diperkuat oleh Megawati Hangestri yang gagal melaju ke Grand final harus kembali menghadapi Kelsey Cook Cs pada laga perebutan tempat ketiga besok. Sebelumnya, Gresik Petrokimia berhasil menaklukan Jakarta Electric PLN 3-0 pada pertandingan terakhir di babak final four Proliga 2025.",https://www.tvonenews.com/sport/arena/331206-yolla-yuliana-dan-megawati-hangestri-akan-kembali-beraksi-jadwal-grand-final-proliga-2025-akhir-pekan-ini,Non-Sepak Bola
7,"Popsivo Polwan Vs Pertamina Enduro, Duel Ideal Grand Final Proliga 2025","JAKARTA, KOMPAS — Grand final PLN Mobile Proliga 2025 kategori putri mempertemukan dua tim yang kekuatannya berimbang, Jakarta Popsivo Polwan dan Jakarta Pertamina Enduro. Ditambah komposisi skuad yang sama-sama kuat dan pencapaian sepanjang kompetisi, Popsivo Polwan dan Pertamina Enduro akan menciptakan final ideal untuk mengakhiri penantian bertahun-tahun akan gelar juara. Popsivo Polwan dan Pertamina Enduro berhadapan pada pertandingan puncak Proliga 2025 yang digelar di GOR Amongrogo, Yogyakarta, Sabtu (10/5/2025) mulai 19.00 WIB. Kedua tim melaju ke babak final setelah menempati peringkat teratas pada klasemen akhir final four. Popsivo memuncaki klasemen dengan 11 poin, Pertamina menyusul dengan 10 poin. Inilah laga penentu bagi dua tim yang pada fase reguler dan final four mengalahkan satu sama lain. Pada musim reguler, Popsivo Polwan lebih dahulu mengalahkan Pertamina Enduro pada pekan kedua. Namun, lima pekan berselang, Pertamina Enduro sukses membalasnya. Hasil itu turut ”menodai” tren kemenangan Popsivo. Pertamina Enduro menjadi satu-satunya tim yang mengalahkan Popsivo Polwan pada fase tersebut untuk meraih tiket ke final four. Adapun bagi Popsivo Polwan, kekalahan dari Pertamina membuat mereka gagal menorehkan hasil sempurna pada fase reguler. Pada final four, kedua tim kembali saling mengalahkan. Dengan demikian, dalam empat pertemuan sebelumnya, kekuatan Pertamina Enduro dan Popsivo Polwan berimbang dengan masing-masing mengemas dua kemenangan. Selepas musim reguler, Pertamina Enduro dan Popsivo Polwan benar-benar mempersiapkan timnya dengan matang. Selain memulai latihan lebih cepat meski saat Ramadhan, Popsivo Polwan dan Pertamina Enduro juga mendatangkan pemain asing yang tak main-main kelasnya. Pada Proliga 2025, setiap tim diperbolehkan memiliki dua pemain asing. Pergantian pemain asing bisa dilakukan hingga sebelum babak final four. Popsivo Polwan bahkan melakukan perombakan tim. Kendati tim sebelumnya sudah mampu mengantar pada hasil positif, klub milik Polri ini tetap mengubah skuad mereka untuk menambah kekuatan. Kekuatan Pertamina Enduro dan Popsivo Polwan berimbang dengan masing-masing mengemas dua kemenangan. Klub ini melepas dua pemain asingnya, Neriman Ozsoy dan Bethania de la Cruz. Keputusan itu, terutama melepas Ozsoy, terbilang mengejutkan karena pemain tersebut menjadi tulang punggung tim dalam mendulang poin selama fase reguler. Popsivo lantas merekrut pemain asal Amerika Serikat, Jessica Mruzik dan Madison Kingdon. Kedua pemain ini sama-sama berpengalaman di kancah internasional. Kami ingin mengawinkan gelar juara tim putri dan tim putra. Kingdon, misalnya, pernah bermain di berbagai klub di AS, Turki, Italia, Korea Selatan, dan Azerbaijan. Kendati tak pernah tampil di Olimpiade, Kingdon mempersembahkan medali emas di liga bola voli antarnegara Liga Nasional Bola Voli atau VNL 2018 dan 2019. ”Kami menargetkan hasil terbaik pada setiap pertandingan. Untuk itu, kami terus memperkuat tim karena tujuan kami adalah bisa bersaing dan meraih gelar juara,” ujar Sekretaris Popsivo Yudhi Hery Setiawan. ”Kami ingin mengawinkan gelar juara tim putri dan tim putra,” kata Yudhi. Tim putra yang dimaksud adalah Jakarta Bhayangkara Presisi yang juga berhasil melaju ke partai final. Pertamina Enduro juga mendatangkan pemain level dunia untuk memperkuat tim sejak final four. Pemain itu adalah Jordan Thompson, peraih medali emas Olimpiade Tokyo 2020 bersama timnas putri Amerika Serikat. Thompson mengisi kuota dua pemain asing Pertamina Enduro bersama Yana Shcherban (Rusia). Maka, laga final juga akan menjadi duel pemain bintang dunia, termasuk duel sesama pemain Amerika Serikat. Seperti Popsivo Polwan, Pertamina Enduro juga mendatangkan pemain kelas dunia demi memenuhi target juara. Namun, Chef de Mission JPE Werry Prayogi juga menegaskan, upaya untuk memenuhi target itu tidak hanya ketika menjelang final four, tetapi sejak putaran reguler. Pertamina Enduro menciptakan skuad yang kuat sejak awal dan menerapkan strategi yang lebih cerdas. Apabila dibandingkan musim-musim sebelumnya, Pertamina Enduro bukan lagi tim yang ”ngegas” pada awal musim, lalu mulai kehabisan bensin menjelang berakhir putaran reguler. Tenaga mereka benar-benar habis saat final four sehingga tidak bisa melaju ke partai puncak. Pada musim ini, Pertamina Enduro cenderung menyimpan tenaga pada akhir musim sehingga berhasil mengemban tiket ke babak empat besar. Setelah itu, mereka cenderung konsisten pada babak ini dan akhirnya melaju ke final. ”Target kami adalah juara. Saya ingin membawa tim ini menjadi juara. Jadi, saya mengambil pemain yang tentunya berkualitas. Saya pilih pemain nomor satu untuk membawa tim jadi juara,” ujar Werry. Werry ingin Pertamina Enduro kembali meraih kejayaannya. Pada 2018, Pertamina Enduro berhasil meraih gelar juara Proliga. Gelar itu trofi kedua bagi tim yang juga pernah menggunakan nama Jakarta Pertamina Energi Putri dan Jakarta Pertamina Fastron ini. Mereka pernah keluar sebagai juara pada edisi 2014. Adapun pada edisi Proliga 2016, 2017, 2019, dan 2023, mereka harus puas finis sebagai runner-up. Ada semacam kerinduan untuk bisa kembali mencicipi status sebagai juara. Apalagi, jarak waktu yang terbentang cukup jauh sejak trofi terakhir mereka di kompetisi bola voli tertinggi di Tanah Air ini. Musim lalu, tim dengan nama pendek JPE ini berhasil menembus babak empat besar. Namun, mereka gagal melaju ke partai puncak setelah hanya menang sekali pada laga pertama melawan Jakarta BIN, yang akhirnya keluar sebagai juara. Saat perebutan tempat ketiga, JPE kalah dari Popsivo Polwan. Mereka pun mengakhiri kompetisi dengan menempati peringkat keempat setelah kekalahan dengan skor 1-3 (18-25, 25-23, 16-25, 13-25). Kerinduan yang sama dirasakan Popsivo Polwan. Proliga 2019 jadi musim terakhir Popsivo Polwan mencapai partai puncak sekaligus meraih gelar juara. Pada musim-musim setelahnya, mereka maksimal hanya bisa mencapai final four, tetapi kesulitan menembus grand final. Pada Proliga 2023, Popsivo Polwan bahkan gagal melaju ke final four. Mereka hanya bertengger pada posisi kelima klasemen fase reguler. Adapun duel Popsivo Polwan dan Pertamina Enduro akan menjadi ulangan partai final Proliga 2019. Saat itu, Popsivo Polwan keluar sebagai juara setelah mengalahkan Pertamina Enduro dalam laga sengit yang berakhir dengan skor 3-2 (15-25, 25-22, 21-25, 25-23, 15-12).",https://www.kompas.id/artikel/popsivo-polwan-vs-pertamina-enduro-duel-ideal-grand-final-proliga-2025,Non-Sepak Bola
8,"Piala Asia Futsal Putri 2025 - Filipina Bikin Kejutan, Posisi Timnas Futsal Putri Indonesia Tak Aman - Superball.id","SUPERBALL.ID - Sejumlah wakil Asia Tenggara telah memulai laga pertama mereka di babak penyisihan grup Piala Asia Futsal Putri 2025. Vietnam dan Thailand sama-sama memulai kiprah di Piala Asia Futsal Putri 2025 dengan kemenangan. Tergabung di Grup B, Vietnam sempat dibuat kesulitan oleh perlawanan Hong Kong. Namun, mereka mampu keluar dari tekanan di menit-menit akhir dan menang dengan skor 5-3. Baca Juga: Timnas Futsal Vietnam Bikin Kejutan Usai Bantai Tim Peringkat 7 Dunia di Laga Uji Coba Di Grup C, Thailand tidak mengalami kesulitan untuk mengalahkan Bahrain dengan skor telak 4-0. Hasil ini membuat Vietnam dan Thailand sama-sama memuncaki klasemen sementara di grup masing-masing. Dua tim teratas di setiap grup dan dua tim peringkat ketiga terbaik akan melaju ke perempat final. Berbeda dengan Vietnam dan Thailand, Timnas Futsal Putri Indonesia menghadapi kesulitan di laga pembuka. Indonesia sejatinya mampu bermain agresif di babak kedua dan berhasil mencetak dua gol ke gawang Jepang.",https://superball.bolasport.com/read/334248568/piala-asia-futsal-putri-2025-filipina-bikin-kejutan-posisi-timnas-futsal-putri-indonesia-tak-aman#google_vignette,Non-Sepak Bola
9,Klasemen Piala Asia Futsal Putri: Indonesia di posisi tiga,"Jakarta (ANTARA) - Timnas futsal putri Indonesia menghuni posisi ketiga klasemen sementara Grup C Piala Asia Futsal Putri 2025, setelah bermain imbang 0-0 dengan Thailand di Hohhot Sports Centre, Hohhot, China, Jumat. Laga Indonesia melawa Thailand berlangsung sengit sejak menit awal, dengan kedua tim saling jual beli serangan dalam dua babak permainan. Namun, buruknya penyelesaian akhir kedua tim dan gemilangnya kiper masing-masing tim, membuat laga berakhir imbang 0-0. Hasil ini membuat Indonesia menghuni posisi ketiga dengan satu poin. Ini merupakan poin pertama Indonesia di Piala Asia Futsal Putri setelah pada pertandingan pertama, Rabu, Garuda Pertiwi kalah 2-5 dari Jepang. Indonesia tertinggal tiga poin dari Thailand yang ada di posisi kedua dengan empat poin. Empat poin ini didapatkan Thailand setelah menahan imbang Indonesia dan membantai Bahrain 4-0 pada laga pertamanya. Sementara itu, posisi puncak klasemen dihuni oleh Jepang setelah mereka menyapu bersih dua pertandingan dengan kemenangan. Setelah meraih tiga poin melawan Indonesia, pada hari ini Jepang menumbangkan Bahrain dengan skor 3-2.  Baca juga: Timnas Indonesia ditahan Thailand 0-0 di Piala Asia Futsal Putri 2025 Pada laga terakhir, Indonesia bertemu Bahrain dan Thailand akan bertemu Jepang. Pertandingan ini akan dimainkan pada Minggu (11/5). Klasemen sementara Grup C Piala Asia Futsal Putri 2025: Baca juga: Pelatih futsal putri Indonesia janjikan hasil terbaik di laga sisa Baca juga: Timnas futsal putri Indonesia akui ketangguhan Jepang, 2-5  Pewarta: Zaro Ezza SyachniarEditor: Eka Arifa Rusqiyati								Copyright © ANTARA 2025",https://www.antaranews.com/berita/4825621/klasemen-piala-asia-futsal-putri-indonesia-di-posisi-tiga,Non-Sepak Bola
10,"MotoGP Prancis 2025 - Rahasia Fabio Quartararo Kembali Istimewa, Misi Back-to-back Pole Position Bukan Mustahil - Bolasport.com","BOLASPORT.COM - Pembalap Monster Energy Yamaha, Fabio Quartararo, merasa senang dengan hasil yang diraih pada rangkaian hari pertama MotoGP Prancis 2025. Quartararo berhasil lolos langsung ke Q2 usai menjadi yang tercepat kedua dalam sesi Practice MotoGP Prancis 2025. Pembalap tuan rumah itu berhasil menorehkan putaran waktu terbaiknya dengan 1 menit 30,032 detik yang digelar di Sirkuit Bugatti, Le Mans, Prancis, Jumat (9/5/2025). El Diablo bahkan hanya terpaut 0,177 detik dari pembalap tercepat, Marc Marquez (Ducati Lenovo). Quartararo kembali menunjukkan kecepatan setelah akhir pekan positif pada seri balap terakhir di Sirkuit Jerez, Spanyol. Dia merasa sangat puas dengan apa yang dirasakan dengan motornya. Apalagi setelah Quartararo kembali lebih baik dari pembalap Ducati Lenovo lainnya yakni Francesco Bagnaia. Quartararo sedikit lebih cepat dengan gap 0,007 detik saja atas Bagnaia yang berada di posisi ketiga. ""Ini adalah hari yang positif, karena kecepatannya bagus, baik dalam satu lap maupun dalam jangka panjang. Kami berharap bisa mengambil langkah maju lagi besok (Sabtu),"" kata Quartararo dilansir BolaSport.com dari Motorsport. Baca Juga: Hasil Practice MotoGP Prancis 2025 - Bagnaia Keasapan Quartararo Lagi, Marc Marquez Terlalu Cepat dan Pecahkan Rekor Lap",https://www.bolasport.com/read/314249319/motogp-prancis-2025-rahasia-fabio-quartararo-kembali-istimewa-misi-back-to-back-pole-position-bukan-mustahil,Non-Sepak Bola
